"","X","height","relation"
"1",1,65.04851,"father"
"2",2,63.25094,"father"
"3",3,64.95532,"father"
"4",4,65.7525,"father"
"5",5,61.13723,"father"
"6",6,63.02254,"father"
"7",7,65.37053,"father"
"8",8,64.72398,"father"
"9",9,66.06509,"father"
"10",10,66.96738,"father"
"11",11,59.008,"father"
"12",12,62.93203,"father"
"13",13,63.67063,"father"
"14",14,64.07386,"father"
"15",15,64.68851,"father"
"16",16,65.15466,"father"
"17",17,66.37353,"father"
"18",18,65.57704,"father"
"19",19,67.36765,"father"
"20",20,66.75929,"father"
"21",21,67.79764,"father"
"22",22,69.5348,"father"
"23",23,62.54014,"father"
"24",24,63.81016,"father"
"25",25,64.4565,"father"
"26",26,64.9665,"father"
"27",27,64.70662,"father"
"28",28,65.73829,"father"
"29",29,65.50141,"father"
"30",30,65.55416,"father"
"31",31,66.90294,"father"
"32",32,66.57388,"father"
"33",33,66.53198,"father"
"34",34,67.90613,"father"
"35",35,68.29198,"father"
"36",36,67.74123,"father"
"37",37,68.46917,"father"
"38",38,69.38327,"father"
"39",39,71.81791,"father"
"40",40,62.41615,"father"
"41",41,64.49083,"father"
"42",42,64.4876,"father"
"43",43,63.92303,"father"
"44",44,65.44592,"father"
"45",45,65.02977,"father"
"46",46,65.67038,"father"
"47",47,68.66078,"father"
"48",48,66.54597,"father"
"49",49,64.85954,"father"
"50",50,69.60692,"father"
"51",51,64.8135,"father"
"52",52,65.32703,"father"
"53",53,65.83169,"father"
"54",54,65.83427,"father"
"55",55,65.56135,"father"
"56",56,65.8688,"father"
"57",57,65.77339,"father"
"58",58,67.09116,"father"
"59",59,66.61374,"father"
"60",60,67.41075,"father"
"61",61,67.27716,"father"
"62",62,66.61134,"father"
"63",63,68.17412,"father"
"64",64,67.80555,"father"
"65",65,68.32529,"father"
"66",66,68.07787,"father"
"67",67,68.96795,"father"
"68",68,68.9255,"father"
"69",69,69.60862,"father"
"70",70,70.35646,"father"
"71",71,70.00643,"father"
"72",72,72.75425,"father"
"73",73,62.82147,"father"
"74",74,62.86855,"father"
"75",75,63.91261,"father"
"76",76,64.54118,"father"
"77",77,64.51906,"father"
"78",78,66.02688,"father"
"79",79,65.81011,"father"
"80",80,66.01812,"father"
"81",81,65.53742,"father"
"82",82,65.73346,"father"
"83",83,66.77424,"father"
"84",84,66.67869,"father"
"85",85,66.97585,"father"
"86",86,66.94021,"father"
"87",87,66.84575,"father"
"88",88,67.12008,"father"
"89",89,67.74181,"father"
"90",90,68.27194,"father"
"91",91,67.60691,"father"
"92",92,68.44737,"father"
"93",93,67.65832,"father"
"94",94,68.71193,"father"
"95",95,69.32025,"father"
"96",96,68.7403,"father"
"97",97,69.13395,"father"
"98",98,69.34995,"father"
"99",99,68.6297,"father"
"100",100,69.58258,"father"
"101",101,70.39517,"father"
"102",102,71.19284,"father"
"103",103,70.82429,"father"
"104",104,71.65367,"father"
"105",105,73.28133,"father"
"106",106,63.03753,"father"
"107",107,63.66428,"father"
"108",108,65.38311,"father"
"109",109,64.60205,"father"
"110",110,66.40661,"father"
"111",111,65.76985,"father"
"112",112,65.66729,"father"
"113",113,66.05712,"father"
"114",114,66.54635,"father"
"115",115,66.5723,"father"
"116",116,66.64876,"father"
"117",117,67.71899,"father"
"118",118,68.48726,"father"
"119",119,67.82769,"father"
"120",120,67.55801,"father"
"121",121,68.07763,"father"
"122",122,69.16715,"father"
"123",123,68.693,"father"
"124",124,68.61779,"father"
"125",125,68.64797,"father"
"126",126,68.61666,"father"
"127",127,70.36485,"father"
"128",128,70.0099,"father"
"129",129,70.13984,"father"
"130",130,70.2073,"father"
"131",131,71.28063,"father"
"132",132,70.90445,"father"
"133",133,72.19036,"father"
"134",134,74.96203,"father"
"135",135,64.88218,"father"
"136",136,65.55174,"father"
"137",137,65.65889,"father"
"138",138,65.92826,"father"
"139",139,65.94198,"father"
"140",140,67.43646,"father"
"141",141,67.48444,"father"
"142",142,67.61344,"father"
"143",143,68.4518,"father"
"144",144,68.49456,"father"
"145",145,68.1056,"father"
"146",146,69.48308,"father"
"147",147,69.07389,"father"
"148",148,69.39251,"father"
"149",149,69.44294,"father"
"150",150,69.52131,"father"
"151",151,70.15463,"father"
"152",152,69.86911,"father"
"153",153,70.44394,"father"
"154",154,70.85393,"father"
"155",155,71.30074,"father"
"156",156,72.13978,"father"
"157",157,72.19045,"father"
"158",158,75.43393,"father"
"159",159,64.51788,"father"
"160",160,66.36335,"father"
"161",161,65.56855,"father"
"162",162,66.78957,"father"
"163",163,66.91193,"father"
"164",164,68.1714,"father"
"165",165,67.50102,"father"
"166",166,67.83492,"father"
"167",167,68.95255,"father"
"168",168,69.26,"father"
"169",169,68.74223,"father"
"170",170,69.74288,"father"
"171",171,70.29942,"father"
"172",172,70.04402,"father"
"173",173,70.23559,"father"
"174",174,70.88075,"father"
"175",175,71.19091,"father"
"176",176,72.37396,"father"
"177",177,73.03345,"father"
"178",178,74.8083,"father"
"179",179,67.39521,"father"
"180",180,67.31523,"father"
"181",181,67.77952,"father"
"182",182,69.33827,"father"
"183",183,68.72404,"father"
"184",184,69.98991,"father"
"185",185,69.75383,"father"
"186",186,70.65942,"father"
"187",187,71.10882,"father"
"188",188,72.4811,"father"
"189",189,72.4801,"father"
"190",190,67.52214,"father"
"191",191,68.23931,"father"
"192",192,68.7997,"father"
"193",193,69.89568,"father"
"194",194,71.48641,"father"
"195",195,70.76482,"father"
"196",196,71.9137,"father"
"197",197,63.08399,"father"
"198",198,68.23241,"father"
"199",199,70.05787,"father"
"200",200,70.83996,"father"
"201",201,72.56944,"father"
"202",202,67.93353,"father"
"203",203,67.54033,"father"
"204",204,72.79855,"father"
"205",205,62.67482,"father"
"206",206,68.19196,"father"
"207",207,65.07215,"father"
"208",208,73.42952,"father"
"209",209,62.94125,"father"
"210",210,62.53667,"father"
"211",211,69.90248,"father"
"212",212,71.07217,"father"
"213",213,71.11059,"father"
"214",214,69.48402,"father"
"215",215,70.18338,"father"
"216",216,65.46124,"father"
"217",217,62.04073,"father"
"218",218,63.60063,"father"
"219",219,65.60613,"father"
"220",220,68.02969,"father"
"221",221,61.81571,"father"
"222",222,63.78886,"father"
"223",223,64.89023,"father"
"224",224,65.79072,"father"
"225",225,66.42371,"father"
"226",226,68.80877,"father"
"227",227,61.76521,"father"
"228",228,64.30302,"father"
"229",229,63.69064,"father"
"230",230,64.99662,"father"
"231",231,65.34899,"father"
"232",232,64.81278,"father"
"233",233,65.71736,"father"
"234",234,66.03148,"father"
"235",235,67.04912,"father"
"236",236,67.77522,"father"
"237",237,69.04964,"father"
"238",238,62.1833,"father"
"239",239,62.76393,"father"
"240",240,63.88391,"father"
"241",241,65.41055,"father"
"242",242,64.62347,"father"
"243",243,65.64621,"father"
"244",244,66.16257,"father"
"245",245,65.99538,"father"
"246",246,65.79786,"father"
"247",247,67.42936,"father"
"248",248,67.11933,"father"
"249",249,67.32907,"father"
"250",250,67.86233,"father"
"251",251,68.31609,"father"
"252",252,67.96359,"father"
"253",253,68.68615,"father"
"254",254,71.18085,"father"
"255",255,62.4296,"father"
"256",256,62.88524,"father"
"257",257,64.07313,"father"
"258",258,63.88597,"father"
"259",259,64.8272,"father"
"260",260,65.39653,"father"
"261",261,64.77344,"father"
"262",262,68.66581,"father"
"263",263,65.19783,"father"
"264",264,64.32621,"father"
"265",265,66.08278,"father"
"266",266,69.01679,"father"
"267",267,64.50194,"father"
"268",268,66.07654,"father"
"269",269,65.73631,"father"
"270",270,66.45485,"father"
"271",271,65.63018,"father"
"272",272,66.39423,"father"
"273",273,67.33687,"father"
"274",274,66.83938,"father"
"275",275,66.69739,"father"
"276",276,67.34708,"father"
"277",277,67.35319,"father"
"278",278,67.93575,"father"
"279",279,67.76608,"father"
"280",280,68.11569,"father"
"281",281,68.2548,"father"
"282",282,68.83427,"father"
"283",283,69.40758,"father"
"284",284,69.32068,"father"
"285",285,70.48,"father"
"286",286,70.06429,"father"
"287",287,70.63764,"father"
"288",288,62.41134,"father"
"289",289,63.15274,"father"
"290",290,63.51409,"father"
"291",291,63.91446,"father"
"292",292,64.61683,"father"
"293",293,64.86185,"father"
"294",294,65.91332,"father"
"295",295,66.1992,"father"
"296",296,66.45978,"father"
"297",297,65.50286,"father"
"298",298,66.87795,"father"
"299",299,67.0791,"father"
"300",300,66.83256,"father"
"301",301,67.18231,"father"
"302",302,66.51763,"father"
"303",303,66.95295,"father"
"304",304,66.63586,"father"
"305",305,68.18453,"father"
"306",306,67.60565,"father"
"307",307,68.27918,"father"
"308",308,67.97994,"father"
"309",309,69.00094,"father"
"310",310,69.31139,"father"
"311",311,68.88641,"father"
"312",312,68.94824,"father"
"313",313,69.42186,"father"
"314",314,69.49516,"father"
"315",315,70.34647,"father"
"316",316,69.92358,"father"
"317",317,70.69078,"father"
"318",318,70.56571,"father"
"319",319,72.40997,"father"
"320",320,72.47685,"father"
"321",321,62.72118,"father"
"322",322,63.9001,"father"
"323",323,64.50433,"father"
"324",324,64.81813,"father"
"325",325,65.37582,"father"
"326",326,65.82612,"father"
"327",327,66.29436,"father"
"328",328,65.81042,"father"
"329",329,66.80854,"father"
"330",330,67.16724,"father"
"331",331,67.30525,"father"
"332",332,67.54577,"father"
"333",333,67.86855,"father"
"334",334,68.35003,"father"
"335",335,67.60818,"father"
"336",336,68.48397,"father"
"337",337,68.56724,"father"
"338",338,69.07405,"father"
"339",339,68.56831,"father"
"340",340,69.15373,"father"
"341",341,68.60744,"father"
"342",342,68.5443,"father"
"343",343,69.65536,"father"
"344",344,70.41632,"father"
"345",345,69.97528,"father"
"346",346,70.26613,"father"
"347",347,71.31667,"father"
"348",348,71.29178,"father"
"349",349,72.59442,"father"
"350",350,64.40268,"father"
"351",351,64.9127,"father"
"352",352,66.34756,"father"
"353",353,66.04291,"father"
"354",354,65.69477,"father"
"355",355,66.71512,"father"
"356",356,66.64971,"father"
"357",357,68.33241,"father"
"358",358,67.94335,"father"
"359",359,67.96734,"father"
"360",360,68.27657,"father"
"361",361,68.75008,"father"
"362",362,69.05441,"father"
"363",363,69.00755,"father"
"364",364,69.39488,"father"
"365",365,69.7628,"father"
"366",366,69.6464,"father"
"367",367,70.45427,"father"
"368",368,69.89852,"father"
"369",369,70.984,"father"
"370",370,71.22015,"father"
"371",371,71.45442,"father"
"372",372,71.60966,"father"
"373",373,73.20296,"father"
"374",374,63.89132,"father"
"375",375,65.99384,"father"
"376",376,66.0424,"father"
"377",377,67.47658,"father"
"378",378,66.68527,"father"
"379",379,68.27034,"father"
"380",380,67.72898,"father"
"381",381,68.28372,"father"
"382",382,68.39453,"father"
"383",383,69.12925,"father"
"384",384,69.10844,"father"
"385",385,69.74196,"father"
"386",386,69.9987,"father"
"387",387,69.56148,"father"
"388",388,69.97779,"father"
"389",389,70.88691,"father"
"390",390,70.64687,"father"
"391",391,72.26404,"father"
"392",392,71.50569,"father"
"393",393,73.01402,"father"
"394",394,66.20254,"father"
"395",395,67.26312,"father"
"396",396,67.8086,"father"
"397",397,69.08284,"father"
"398",398,69.35107,"father"
"399",399,69.59962,"father"
"400",400,70.08948,"father"
"401",401,70.18385,"father"
"402",402,71.26955,"father"
"403",403,72.07717,"father"
"404",404,72.33894,"father"
"405",405,67.06776,"father"
"406",406,67.85929,"father"
"407",407,69.07274,"father"
"408",408,69.59893,"father"
"409",409,69.73728,"father"
"410",410,70.54066,"father"
"411",411,72.40962,"father"
"412",412,72.78889,"father"
"413",413,68.10144,"father"
"414",414,68.6106,"father"
"415",415,71.293,"father"
"416",416,72.09445,"father"
"417",417,74.69236,"father"
"418",418,71.16246,"father"
"419",419,68.30804,"father"
"420",420,60.41857,"father"
"421",421,63.94459,"father"
"422",422,63.06849,"father"
"423",423,63.98036,"father"
"424",424,73.89524,"father"
"425",425,72.03687,"father"
"426",426,61.02471,"father"
"427",427,65.39914,"father"
"428",428,71.96564,"father"
"429",429,71.29643,"father"
"430",430,65.15837,"father"
"431",431,68.90263,"father"
"432",432,64.45192,"father"
"433",433,63.99469,"father"
"434",434,66.46124,"father"
"435",435,67.12556,"father"
"436",436,62.27941,"father"
"437",437,63.8488,"father"
"438",438,65.43612,"father"
"439",439,65.62145,"father"
"440",440,66.16956,"father"
"441",441,67.62675,"father"
"442",442,60.21393,"father"
"443",443,62.99378,"father"
"444",444,63.57239,"father"
"445",445,65.15088,"father"
"446",446,65.13462,"father"
"447",447,64.79732,"father"
"448",448,66.24856,"father"
"449",449,66.22743,"father"
"450",450,66.6056,"father"
"451",451,67.99167,"father"
"452",452,69.04862,"father"
"453",453,62.12902,"father"
"454",454,63.16227,"father"
"455",455,64.45497,"father"
"456",456,63.75483,"father"
"457",457,64.63959,"father"
"458",458,64.59106,"father"
"459",459,66.06003,"father"
"460",460,65.98544,"father"
"461",461,65.66176,"father"
"462",462,67.11501,"father"
"463",463,67.31302,"father"
"464",464,67.16149,"father"
"465",465,68.38679,"father"
"466",466,67.64175,"father"
"467",467,67.55466,"father"
"468",468,68.53614,"father"
"469",469,70.02702,"father"
"470",470,61.07412,"father"
"471",471,62.72387,"father"
"472",472,64.28642,"father"
"473",473,64.11073,"father"
"474",474,63.68318,"father"
"475",475,64.68393,"father"
"476",476,64.66753,"father"
"477",477,67.95848,"father"
"478",478,64.60933,"father"
"479",479,66.07775,"father"
"480",480,65.25267,"father"
"481",481,69.67201,"father"
"482",482,65.33965,"father"
"483",483,65.54375,"father"
"484",484,66.1112,"father"
"485",485,66.22968,"father"
"486",486,66.00879,"father"
"487",487,66.03248,"father"
"488",488,65.94624,"father"
"489",489,67.09734,"father"
"490",490,66.98893,"father"
"491",491,67.38837,"father"
"492",492,67.4075,"father"
"493",493,67.31108,"father"
"494",494,68.27151,"father"
"495",495,68.33586,"father"
"496",496,67.56752,"father"
"497",497,68.23182,"father"
"498",498,69.07604,"father"
"499",499,68.77033,"father"
"500",500,70.49154,"father"
"501",501,70.00767,"father"
"502",502,69.52007,"father"
"503",503,61.50617,"father"
"504",504,62.93875,"father"
"505",505,64.10318,"father"
"506",506,63.85157,"father"
"507",507,65.08731,"father"
"508",508,64.62588,"father"
"509",509,65.8912,"father"
"510",510,66.24386,"father"
"511",511,65.66031,"father"
"512",512,66.05344,"father"
"513",513,66.30711,"father"
"514",514,67.15303,"father"
"515",515,66.90986,"father"
"516",516,66.89436,"father"
"517",517,66.56566,"father"
"518",518,67.23789,"father"
"519",519,67.05684,"father"
"520",520,67.94515,"father"
"521",521,67.94026,"father"
"522",522,67.84234,"father"
"523",523,67.91887,"father"
"524",524,68.63961,"father"
"525",525,68.60477,"father"
"526",526,69.04036,"father"
"527",527,69.03336,"father"
"528",528,69.12497,"father"
"529",529,68.53779,"father"
"530",530,70.24335,"father"
"531",531,69.84308,"father"
"532",532,69.90057,"father"
"533",533,71.48946,"father"
"534",534,72.37013,"father"
"535",535,71.94413,"father"
"536",536,61.01904,"father"
"537",537,63.0108,"father"
"538",538,64.5793,"father"
"539",539,65.39658,"father"
"540",540,64.84995,"father"
"541",541,65.54542,"father"
"542",542,65.56421,"father"
"543",543,66.09747,"father"
"544",544,67.40602,"father"
"545",545,66.5839,"father"
"546",546,67.41035,"father"
"547",547,67.21634,"father"
"548",548,68.23175,"father"
"549",549,67.88053,"father"
"550",550,68.0153,"father"
"551",551,67.69332,"father"
"552",552,68.85462,"father"
"553",553,68.73264,"father"
"554",554,69.0711,"father"
"555",555,68.79964,"father"
"556",556,68.79876,"father"
"557",557,69.32241,"father"
"558",558,69.60923,"father"
"559",559,69.76071,"father"
"560",560,70.1611,"father"
"561",561,70.12109,"father"
"562",562,71.10802,"father"
"563",563,71.44164,"father"
"564",564,71.75006,"father"
"565",565,64.35591,"father"
"566",566,65.16253,"father"
"567",567,66.09529,"father"
"568",568,65.78674,"father"
"569",569,65.53927,"father"
"570",570,66.71703,"father"
"571",571,67.17284,"father"
"572",572,67.16853,"father"
"573",573,68.06061,"father"
"574",574,67.85988,"father"
"575",575,68.1968,"father"
"576",576,69.29537,"father"
"577",577,68.84067,"father"
"578",578,69.18095,"father"
"579",579,68.69659,"father"
"580",580,69.45833,"father"
"581",581,70.0483,"father"
"582",582,69.6916,"father"
"583",583,70.20658,"father"
"584",584,70.79086,"father"
"585",585,70.87977,"father"
"586",586,71.30702,"father"
"587",587,72.3266,"father"
"588",588,72.7824,"father"
"589",589,64.40052,"father"
"590",590,64.89121,"father"
"591",591,65.84506,"father"
"592",592,67.35461,"father"
"593",593,67.44953,"father"
"594",594,67.86439,"father"
"595",595,67.92443,"father"
"596",596,68.49998,"father"
"597",597,67.60602,"father"
"598",598,69.37288,"father"
"599",599,69.34931,"father"
"600",600,69.48306,"father"
"601",601,70.21887,"father"
"602",602,70.02161,"father"
"603",603,69.83698,"father"
"604",604,69.6041,"father"
"605",605,71.49829,"father"
"606",606,72.16894,"father"
"607",607,72.41045,"father"
"608",608,72.52521,"father"
"609",609,64.6702,"father"
"610",610,66.78417,"father"
"611",611,67.83401,"father"
"612",612,68.15907,"father"
"613",613,69.19301,"father"
"614",614,68.86739,"father"
"615",615,70.11126,"father"
"616",616,70.12007,"father"
"617",617,71.03691,"father"
"618",618,71.43196,"father"
"619",619,72.04564,"father"
"620",620,72.738,"father"
"621",621,68.02564,"father"
"622",622,69.04939,"father"
"623",623,68.86356,"father"
"624",624,69.63421,"father"
"625",625,71.24085,"father"
"626",626,71.95679,"father"
"627",627,72.89983,"father"
"628",628,65.86028,"father"
"629",629,68.48883,"father"
"630",630,70.72676,"father"
"631",631,72.34582,"father"
"632",632,72.59922,"father"
"633",633,68.82986,"father"
"634",634,73.49987,"father"
"635",635,70.0599,"father"
"636",636,67.9291,"father"
"637",637,64.66998,"father"
"638",638,60.7795,"father"
"639",639,74.94058,"father"
"640",640,70.64925,"father"
"641",641,60.91526,"father"
"642",642,65.28934,"father"
"643",643,71.362,"father"
"644",644,71.66893,"father"
"645",645,62.68868,"father"
"646",646,71.39326,"father"
"647",647,66.56302,"father"
"648",648,67.18788,"father"
"649",649,62.532,"father"
"650",650,64.85512,"father"
"651",651,66.94161,"father"
"652",652,62.3603,"father"
"653",653,63.58145,"father"
"654",654,65.44633,"father"
"655",655,65.00539,"father"
"656",656,66.43717,"father"
"657",657,66.6676,"father"
"658",658,59.4898,"father"
"659",659,63.00108,"father"
"660",660,64.0892,"father"
"661",661,64.0753,"father"
"662",662,64.52103,"father"
"663",663,65.19231,"father"
"664",664,66.30604,"father"
"665",665,66.03081,"father"
"666",666,66.83096,"father"
"667",667,68.19724,"father"
"668",668,68.6599,"father"
"669",669,61.29369,"father"
"670",670,63.26089,"father"
"671",671,63.86162,"father"
"672",672,64.13176,"father"
"673",673,64.81105,"father"
"674",674,64.55987,"father"
"675",675,66.19437,"father"
"676",676,66.5,"father"
"677",677,66.43436,"father"
"678",678,67.30468,"father"
"679",679,67.36559,"father"
"680",680,67.29162,"father"
"681",681,67.69874,"father"
"682",682,68.38221,"father"
"683",683,67.76712,"father"
"684",684,69.29587,"father"
"685",685,69.66477,"father"
"686",686,60.03436,"father"
"687",687,62.1356,"father"
"688",688,63.64047,"father"
"689",689,63.82278,"father"
"690",690,64.46555,"father"
"691",691,64.73798,"father"
"692",692,65.43021,"father"
"693",693,65.07381,"father"
"694",694,69.29517,"father"
"695",695,67.67996,"father"
"696",696,64.94267,"father"
"697",697,69.47933,"father"
"698",698,65.05963,"father"
"699",699,65.01253,"father"
"700",700,65.61963,"father"
"701",701,65.94819,"father"
"702",702,65.68803,"father"
"703",703,65.87689,"father"
"704",704,65.91481,"father"
"705",705,67.41946,"father"
"706",706,66.53833,"father"
"707",707,67.41995,"father"
"708",708,67.21977,"father"
"709",709,67.33721,"father"
"710",710,68.11283,"father"
"711",711,68.02017,"father"
"712",712,68.02829,"father"
